Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Age,Gender,Birthplace,Residences,SubmissionTime
cake,cake,cake,pie,biscuit,cake,cake,cookie,pastry,pastry,bun,tart,cake,roll,slice,English,"Swedish, French",50-59,Nonbinary,Sweden,France,Wed May 12 11:33:57 AM 2021
cake,cake,pie,pie,biscuit,cake,tart,cookie,bun,pastry,bun,pastry,bread,bread,cake,Swedish,English French ,20-29,Female,Sweden,,Wed May 12 11:46:29 AM 2021
cake,cake,tart,pie,cookie,cake,tart,biscuit,bun,cake,bun,cake,cake,bread,cake,Swedish ,English ,20-29,Male,Sweden ,,Wed May 12 11:55:27 AM 2021
cake,cake,pie,pie,cookie,cake,pie,cookie,pastry,pastry,bun,cake,cake,bread,pie,Swedish,English,20-29,Female,Sweden,,Wed May 12 11:56:57 AM 2021
cake,cake,pie,pie,cake,cake,pie,biscuit,pastry,bun,roll,bun,cake,bread,slice,swedish,English,20-29,Female,Sweden,,Wed May 12 12:00:30 PM 2021
cake,cake,tart,pie,biscuit,cake,cake,biscuit,pastry,Puff,pastry,pastry,cake,bun,Don’t know,"English, Trinidadian English Creole","Spanish, (bad) German",20-29,Female,United Kingdom,Trinidad and Tobago,Wed May 12 03:28:59 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,Danish,bun,Scroll,Strudel,cake,bread,slice,English,"Finnish, German, Swedish, Japanese",30-39,Female,Australia,,Wed May 12 04:07:41 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,scroll,bread,cake,bread,slice,English,"Japanese, French, tiny bit of Swedish and Dutch",20-29,Female,Australia,,Wed May 12 6:49:32 PM 2021
cake,cake,tart,pie,biscuit,cake,tart,biscuit,pastry,bun,bun,pastry,bun,bun,slice,English,Finnish,30-39,Male,Australia,,Wed May 12 05:25:54 PM 2021
cake,cake,pie,pie,cookie,cake,cake,biscuit,bun,pastry,bun,pastry,pie,bun,pie,Russian,"English, Swedish, Latvian",30-39,Female,Russia,,Wed May 12 07:30:29 PM 2021
cake,cake,tart,pie,biscuit,pastry,pie,cookie,pastry,pastry,bun,pastry,cake,roll,pastry,Swedish,"English, German",40-49,Male,Sweden,USA,Wed May 12 08:08:29 PM 2021
