Wedding cake,Birthday cake,Raspberry tart,Apple pie,Gingerbread biscuits,Lemon cake,Lemon tart,Oreos,Wienerbröd,Semla,Cinammon scroll,Apple pullapart,Round pullapart,Brioche,Raspberry slice,NativeLang,OtherLangs,Birthplace,BirthRegion,SwedishResidence,Age,Gender,SubmissionTime
tårta,tårta,tårta,paj,keks,kaka,kaka,keks,wienerbröd,bulle,bulle,bröd,kaka,brioche,kaka,engelska,"japanska, lite svenska",Australien,Jag kommer inte från Sverige,Uppland,20-29,Kvinna,Wed May 12 10:00:00 AM 2021
tårta,tårta,tårta,paj,kaka,kaka,tårta,bakverk,bakelse,bakelse,bulle,paj,bakverk,bakverk,bakverk,Svenska ,"Engelska, Franska ",Sverige ,Uppland,Jag bor inte i Sverige,50-59,Man,Wed May 12 11:29:40 AM 2021
tårta,tårta,kaka,paj,keks,tårta,bit,keks,bulle,bakelse,bulle,ruta,bakelse,bakelse,bit,Franska,Svenska,Frankrike,Jag kommer inte från Sverige,Uppland,50-59,Kvinna,Wed May 12 11:41:51 AM 2021
bulle,tårta,paj,paj,kaka,kaka,paj,kaka,bulle,Semla,bulle,bulle,bröd,bröd,paj,Svenska ,Engelska Franska,Sverige,Södermanland,Södermanland,20-29,Kvinna,Wed May 12 11:44:32 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakelse,bulle,bakverk,kaka,bröd,kaka,Svenska,Engelska,Sverige ,Uppland,Uppland,20-29,Kvinna,Wed May 12 11:48:44 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bulle,bakverk,bakverk,kaka,bröd,ruta,svenska,"engelska, italienska, spanska",Sverige,Uppland,Uppland,20-29,Kvinna,Wed May 12 11:50:57 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kex,bakelse,bakelse,bulle,bakverk,kaka,bröd,ruta,Svenska,"Engelska, Tyska",Sverige,Uppland,Jag bor inte i Sverige,40-49,Man,Wed May 12 08:06:09 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,bakverk,bulle,bakelse,bulle,bakelse,bakelse,bröd,tårta,Spanska,"Engelska, svenska ",Peru,Jag kommer inte från Sverige,Uppland,20-29,Kvinna,Wed May 12 09:22:29 PM 2021
tårta,tårta,paj,paj,kaka,kaka,kaka,kaka,Weinerbröd,Semla,bulle,paj,kaka,bröd,kaka,Svenska,"Engelska, franska, tyska",Sverige ,Uppland,Jag bor inte i Sverige,30-39,Kvinna,Wed May 12 09:56:57 PM 2021
tårta,tårta,paj,paj,kaka,paj,paj,keks,bakelse,Semla,bulle,bakverk,bakverk,bröd,paj,Svenska,Tyska engelska,Sverige,Uppland,Skåne,30-39,Man,Wed May 12 10:02:16 PM 2021
bakelse,bakelse,tårta,paj,kaka,paj,tårta,keks,bakverk,bakverk,bulle,bakverk,bakverk,bulle,bakverk,Sv,Eng,Sverige,Uppland,Jag bor inte i Sverige,60-69,Man,Thu May 13 01:16:10 AM 2021
tårta,tårta,kaka,paj,kaka,kaka,kaka,kaka,bakverk,bakelse,bulle,bakverk,kaka,bröd,kaka,svenska,"engelska, franska",Sverige,Östergötland,Skåne,20-29,Man,Thu May 13 05:38:48 AM 2021
tårta,tårta,paj,paj,kaka,kaka,kaka,kaka,bakelse,bakelse,bulle,kaka,kaka,bröd,kaka,svenska,"engelska, ryska, lite tyska och nederländska",Sverige,Södermanland,Södermanland,40-49,Man,Thu May 13 06:06:08 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakelse,bulle,bulle,bakelse,kaka,bröd,paj,Svenska,Engelska,Sverige,Uppland,Jag bor inte i Sverige,30-39,Man,Thu May 13 08:49:11 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,Wienerbröd,Semla,bulle,bakverk,kaka,bröd,ruta,Svenska,"Engelska, nederländska",Sverige,Södermanland,Södermanland,40-49,Kvinna,Thu May 13 10:08:00 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,kaka,kaka,bröd,bakelse,Svenska,Engelska,Sverige,Södermanland,Södermanland,20-29,Kvinna,Thu May 13 10:52:13 AM 2021
tårta,tårta,tårta,paj,kex,tårta,tårta,kex,bakelse,bakelse,bakverk,bakelse,paj,bulle,bakelse,Greek,English ,Greece,Jag kommer inte från Sverige,Jag bor inte i Sverige,40-49,Man,Thu May 13 01:39:50 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakelse,bakelse,bulle,ruta,paj,bakelse,ruta,tjeckiska ,"svenska, engelska, lite spanska ",Tjeckien ,Jag kommer inte från Sverige,Södermanland,20-29,Kvinna,Thu May 13 03:45:40 PM 2021
tårta,bulle,paj,paj,kaka,kaka,bakverk,kaka,bakelse,bakverk,bulle,bulle,bulle,bulle,kaka,Svenska,Engelska,Sverige,Medelpad,Uppland,20-29,Kvinna,Thu May 13 06:17:25 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,kaka,bakverk,bakelse,bakverk,bakelse,bakverk,bröd,bakverk,English ,Svensk,Australia ,Jag kommer inte från Sverige,Skåne,40-49,Man,Fri May 14 07:20:33 AM 2021
tårta,tårta,paj,paj,kaka,paj,paj,kaka,bröd,bakelse,bulle,bakelse,kaka,bulle,bakelse,Svenska,Engelska,Sverige,Medelpad,Uppland,20-29,Man,Fri May 14 08:20:30 AM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bulle,bulle,bulle,kaka,kaka,bröd,bakelse,Svenska ,,Sverige ,Medelpad,Uppland,20-29,Kvinna,Fri May 14 08:23:01 AM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bulle,bulle,bulle,kaka,kaka,bröd,bakelse,Svenska ,,Sverige ,Medelpad,Uppland,20-29,Kvinna,Fri May 14 08:23:02 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kex,bakelse,bakelse,bulle,kaka,kaka,bröd,paj,svenska,"engelska, franska, finska",sverige,Södermanland,Uppland,20-29,Kvinna,Fri May 14 08:24:31 AM 2021
tårta,tårta,paj,paj,kex,kaka,paj,kaka,bulle,bakverk,bulle,bulle,bulle,bulle,kaka,Svenska,"Engelska, norska, tyska",Sverige,Småland,Jag bor inte i Sverige,20-29,Kvinna,Fri May 14 08:31:28 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,bakverk,kaka,bulle,bakverk,Svenska,Engelska,Sverigw,Hälsingland,Jämtland,20-29,Kvinna,Fri May 14 08:45:36 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,bakverk,bakverk,Semla ,bulle,kaka,kaka,bulle,paj,Svenska,Spanska engelska ,Sverige,Jag kommer inte från Sverige,Uppland,20-29,Kvinna,Fri May 14 09:15:01 AM 2021
tårta,tårta,paj,paj,kaka,paj,paj,kaka,Wienerbröd,Semla,bulle,bakverk,kaka,bröd,ruta,Svenska,Engelska,Sverige,Uppland,Uppland,20-29,Man,Fri May 14 11:00:19 AM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,Semla,bulle,kaka,kaka,bröd,ruta,Svenska ,Engelska,Sverige ,Medelpad,Uppland,20-29,Kvinna,Fri May 14 01:43:17 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,kaka,bröd,bulle,bulle,bulle,bulle,bröd,bit,Svenska,Engelska,Sverige ,Jag kommer inte från Sverige,Medelpad,50-59,Kvinna,Fri May 14 01:48:26 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kex,bulle,bulle,bulle,paj,kaka,bröd,kaka,Svenska,Engelska,Sverige,Medelpad,Medelpad,20-29,Man,Fri May 14 01:49:51 PM 2021
tårta,tårta,tårta,paj,pepparkaka,paj,paj,kex,bröd,bulle,bulle,paj,kaka,bulle,paj,finska,"svenska, engelska, ryska, tyska",finland,Jag kommer inte från Sverige,Uppland,40-49,Kvinna,Fri May 14 02:00:34 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,Semla,bulle,kaka,kaka,bulle,kaka,Svenska,"Engelska, tyska, franska, spanska",Sverige,Halland,Västergötland,40-49,Kvinna,Fri May 14 03:19:16 PM 2021
tårta,tårta,paj,paj,kex,bakelse,paj,kaka,bakelse,bulle,bulle,bakelse,bakelse,bröd,paj,Finska,"Svenska, engelska, franska, spanska",Finland,Jag kommer inte från Sverige,Jag bor inte i Sverige,20-29,Kvinna,Fri May 14 04:20:42 PM 2021
tårta,tårta,paj,paj,kaka,bakverk,paj,kaka,bakverk,bakverk,bulle,bulle,bulle,bröd,paj,Svenska,EngelskA,Sverige ,Jämtland,Bohuslän,40-49,Kvinna,Fri May 14 05:44:42 PM 2021
tårta,tårta,paj,paj,Pepparkaka,kaka,paj,kaka,bakverk,Semla ,bulle,kaka,kaka,bulle,kaka,Svenska,"Engelska, tyska, spanska",Sverige,Halland,Västergötland,40-49,Kvinna,Fri May 14 05:47:31 PM 2021
tårta,tårta,paj,paj,kaka,tårta,paj,kaka,Wienerbröd ,bulle,bulle,bakverk,kaka,bröd,paj,Svenska ,"Engelska, tyska ",Sverige ,Skåne,Södermanland,40-49,Kvinna,Fri May 14 05:58:23 PM 2021
tårta,tårta,paj,paj,kaka,kaka,paj,kaka,bakverk,bakverk,bulle,bakverk,kaka,bulle,kaka,Svenska ,Engelska ,Sverige ,Bohuslän,Västmanland,40-49,Kvinna,Fri May 14 06:54:25 PM 2021
tårta,tårta,tårta,paj,kaka,kaka,paj,kaka,bulle,bakelse,bulle,bulle,bakverk,bröd,kaka,Svenska ,Tyska och engelska ,Sverige,Västergötland,Västergötland,20-29,Kvinna,Fri May 14 07:19:10 PM 2021
